,Title,Rating,Designation,Pros,Cons,Date,Position,sentiment,all_features
458,Toxic chaos.,2,"Former Employee, less than 1 year","Pay above market, reasonably good IT.","Too many international development groups, too much offshoring. Inefficient communications as a result of offshoring. Chaotic product development and late hours.",2019," Software Developer in Kokomo, IN",0,"Toxic chaos. Pay above market, reasonably good IT. Too many international development groups, too much offshoring. Inefficient communications as a result of offshoring. Chaotic product development and late hours."
461,Good company,4,Current Employee,"Nice company, can learn many things",Nothing to say about cons,2019, Anonymous Employee ,1,"Good company Nice company, can learn many things Nothing to say about cons"
464,"if you are used to internal politics, do join, you will enjoy",1,"Current Employee, less than 1 year","office timing is good, transportation facility, food, training's","cannot work independently, lot of internal politics, everyone in organisation will try to pull you leg so that you don't grow",2019, Deputy Manager in Dhāruhera,0,"if you are used to internal politics, do join, you will enjoy office timing is good, transportation facility, food, training's cannot work independently, lot of internal politics, everyone in organisation will try to pull you leg so that you don't grow"
466,Not so gud for growth,2,Former Employee,Good for fresher's to learn,"Politics , no growth .. not employee friendly,HR department is not gud",2019, Senior Electrical Engineer in Bangalore,0,"Not so gud for growth Good for fresher's to learn Politics , no growth .. not employee friendly,HR department is not gud"
467,Good place to work and challenge yourself.,4,"Current Employee, more than 3 years","High technology projects, good management and nice work environment.",It's difficult to grow inside the company,2019," Software Engineer in Querétaro, Querétaro, Querétaro",1,"Good place to work and challenge yourself. High technology projects, good management and nice work environment. It's difficult to grow inside the company"
472,Great Company,5,"Current Employee, less than 1 year",Working with absolutely brilliant people in a diverse environment is just great.,A bit of bureaucracy as in all large organizations.,2019, Onsite Support Engineer ,1,Great Company Working with absolutely brilliant people in a diverse environment is just great. A bit of bureaucracy as in all large organizations.
473,Worst working environment. Huge bureaucracy. Lost of upper management levels and departments that are useless.,1,"Former Employee, more than 1 year",Large company leader in the industry,Lots of mid to upper management levels that are only looking not to be fired. No contribution to the business and they lie to the executives about the financials. They make unattainable comments they role out every month and goals never get accomplished since the actual plans are not followed. Work ethics at some director levels are extremely questionable,2019, Director of Operations in Ciudad de Mexico,0,Worst working environment. Huge bureaucracy. Lost of upper management levels and departments that are useless. Large company leader in the industry Lots of mid to upper management levels that are only looking not to be fired. No contribution to the business and they lie to the executives about the financials. They make unattainable comments they role out every month and goals never get accomplished since the actual plans are not followed. Work ethics at some director levels are extremely questionable
474,Good company,5,"Current Employee, more than 3 years",Flexible Work Hours and holiday schedule. Knowledgeable staff,Cant think of any Cons,2019, Validation Engineer ,1,Good company Flexible Work Hours and holiday schedule. Knowledgeable staff Cant think of any Cons
475,2 years at aptiv,4,"Current Employee, more than 1 year",Good company for your carrier growth.,medical is expensive compare to other company.,2019, Project Manager ,1,2 years at aptiv Good company for your carrier growth. medical is expensive compare to other company.
476,Excellent place to learn and grow,4,"Current Employee, less than 1 year",Good Management Supportive peers Great work life balance,Salary structure is not uniform,2019, Systems Engineer in Kraków,1,Excellent place to learn and grow Good Management Supportive peers Great work life balance Salary structure is not uniform
477,Project Engineer,4,Current Employee,Good Working Environment and humanly approach,"Nothing much, all is well and good",2019, Anonymous Employee ,1,"Project Engineer Good Working Environment and humanly approach Nothing much, all is well and good"
478,Sold out US workers and lied to those in Ireland,1,Former Employee,They subsidies the lunch room.,Management lacks integrity. Executives are allowed to discriminate against employees and are backed bu HR in doing so. Career growth has been stopped so excellent employees are forced to leave. Management also sold out US workers with move of the HQ to Ireland. They could have made it work for everyone if they chose. People in Ireland also feel lied to. Just no integrity.,2019,  ,0,Sold out US workers and lied to those in Ireland They subsidies the lunch room. Management lacks integrity. Executives are allowed to discriminate against employees and are backed bu HR in doing so. Career growth has been stopped so excellent employees are forced to leave. Management also sold out US workers with move of the HQ to Ireland. They could have made it work for everyone if they chose. People in Ireland also feel lied to. Just no integrity.
480,Wonder Full Work Environment,4,"Former Employee, more than 3 years","Good Work, supportive Management, great Work-Life Balance",Growth Depends On the projects,2019, Anonymous Employee in Bangalore,1,"Wonder Full Work Environment Good Work, supportive Management, great Work-Life Balance Growth Depends On the projects"
481,Poland opinion,4,"Current Employee, more than 1 year",Nice and help-full people in team,Management do not see why people left this company,2018, Systems Test Engineer in Kraków,1,Poland opinion Nice and help-full people in team Management do not see why people left this company
484,Company with good opportunities in automotive sector.,5,Current Employee,Good place to start with.,No downsides as such.It also depends on the team one is working with.,2018, Anonymous Employee ,1,Company with good opportunities in automotive sector. Good place to start with. No downsides as such.It also depends on the team one is working with.
485,Work full of young professionals,5,Current Employee,"Many challenges, new projects, elastic work hours, well organised, amazing team integration",There are no cons for me at this moment,2018, Anonymous Employee ,1,"Work full of young professionals Many challenges, new projects, elastic work hours, well organised, amazing team integration There are no cons for me at this moment"
486,Very Nice company to work for! Happy tonwork here,4,"Current Employee, more than 3 years",Employee friendly Management is good Good benefits to employees Flexible working hours Nice learning No pressure,Not faced any till now,2018, Advanced Applications Engineer in Whitefield,1,Very Nice company to work for! Happy tonwork here Employee friendly Management is good Good benefits to employees Flexible working hours Nice learning No pressure Not faced any till now
487,Software Verification Engineer - Student,4,Current Employee,I work at a student lab. Great place to work part time while pursuing a degree. Leadership that is very understanding about school being a priority.,Communication with other Aptiv branches can be sticky,2018, Software Verification Engineer ,1,Software Verification Engineer - Student I work at a student lab. Great place to work part time while pursuing a degree. Leadership that is very understanding about school being a priority. Communication with other Aptiv branches can be sticky
491,So so,2,"Former Employee, more than 10 years",Good for New graduates to get experienced,"Low salary, long working hours, no reepect to loyalty",2019, IT Operations Manager in İzmir,0,"So so Good for New graduates to get experienced Low salary, long working hours, no reepect to loyalty"
494,Professional,4,"Current Employee, less than 1 year",1. Very Less Work Pressure 2. Decent Pay 3. Good HR,1. No environment to learn new things,2018, Senior Design Engineer in Chennai,1,Professional 1. Very Less Work Pressure 2. Decent Pay 3. Good HR 1. No environment to learn new things
495,Very good company,4,Former Employee,Good leadership and great colleagues,Frequent ups and downs and temp layoffs,2018,  ,1,Very good company Good leadership and great colleagues Frequent ups and downs and temp layoffs
498,Good job for start,4,"Current Employee, more than 3 years","people, atmosphere, events, benefits, multisport",payment but the rest is ok,2018, Software/Systems Test Engineer in Kraków,1,"Good job for start people, atmosphere, events, benefits, multisport payment but the rest is ok"
499,"Run, don't walk to nearest exit.",1,"Former Employee, less than 1 year","Above market pay, good PTO, Troy campus is beautiful.",Layoffs are a common occurrence here so job security is non existent. 400 people were laid off on August 31st with more layoffs in Q4. My new recruiter refuses to work with Aptiv or Delphi to place anybody there due to the constant layoffs. (Wish I knew that before I took the job),2018,"  in Troy, MI",0,"Run, don't walk to nearest exit. Above market pay, good PTO, Troy campus is beautiful. Layoffs are a common occurrence here so job security is non existent. 400 people were laid off on August 31st with more layoffs in Q4. My new recruiter refuses to work with Aptiv or Delphi to place anybody there due to the constant layoffs. (Wish I knew that before I took the job)"
500,What happens in Vegas...,5,"Current Employee, less than 1 year","Salary is very competitive for the area and the cost of living is reasonable, allowing a nice quality of life if you can take the summer heat. Nice to know one can afford to run the A/C and still eat something other than ramen (although there are some terrific noodle places here). Holiday/PTO option is generous when compared to other similar positions in this city and other benefits, such as complimentary snacks/beverages/happy hours, provide additional perks. Casual, comfortable, relaxed dress code is appropriate and much appreciated in the desert. Time off requests are easily approved and having a life outside of work is not just understood, but is actively encouraged.","Extremely rapid growth premature to having functioning support systems in place can cause confusion, especially in new hires who are used to traditional, established, old-school style business . Rapid changes, which seem to be the norm, not the exception, might be difficult for employees who are used to rigid structure, micro-managing and strict schedules. No covered parking for employees.",2018," Vehicle Operator in Las Vegas, NV",1,"What happens in Vegas... Salary is very competitive for the area and the cost of living is reasonable, allowing a nice quality of life if you can take the summer heat. Nice to know one can afford to run the A/C and still eat something other than ramen (although there are some terrific noodle places here). Holiday/PTO option is generous when compared to other similar positions in this city and other benefits, such as complimentary snacks/beverages/happy hours, provide additional perks. Casual, comfortable, relaxed dress code is appropriate and much appreciated in the desert. Time off requests are easily approved and having a life outside of work is not just understood, but is actively encouraged. Extremely rapid growth premature to having functioning support systems in place can cause confusion, especially in new hires who are used to traditional, established, old-school style business . Rapid changes, which seem to be the norm, not the exception, might be difficult for employees who are used to rigid structure, micro-managing and strict schedules. No covered parking for employees."
501,Best company to work,5,"Current Employee, less than 1 year",Nice work environment and friendly co-workers,Under staffed for specific roles including mine.,2018," Salesforce Administrator in Troy, MI",1,Best company to work Nice work environment and friendly co-workers Under staffed for specific roles including mine.
502,Stay away from APTIV chennai office,1,"Former Employee, less than 1 year",No Pros at this company,Saturday working day which will not be communicated during recruitment. they will not allow you to take even 5 leaves in a year.,2019, Senior Engineer in Chennai,0,Stay away from APTIV chennai office No Pros at this company Saturday working day which will not be communicated during recruitment. they will not allow you to take even 5 leaves in a year.
506,Hybrid Systems Engineer,1,Former Employee,"Challenging work and responsibilities. Very capable systems and tools, reference material online. Strong core structure.","Outside Leadership seems to be focused on financials. No longer puts customer or employees as it pillars. Customer Focus is gone, Employee growth and stability is gone. Quality is not focus if it requires investment. Older engineers skating by until retirement. Internal departments no longer working together and instead have to worry about budgets. Sad what this has become.",2018, Anonymous Employee ,0,"Hybrid Systems Engineer Challenging work and responsibilities. Very capable systems and tools, reference material online. Strong core structure. Outside Leadership seems to be focused on financials. No longer puts customer or employees as it pillars. Customer Focus is gone, Employee growth and stability is gone. Quality is not focus if it requires investment. Older engineers skating by until retirement. Internal departments no longer working together and instead have to worry about budgets. Sad what this has become."
507,Senior Financial Analyst,1,"Former Employee, less than 1 year","Competitive pay, hiring process is straightforward, vacation and holiday is comparable to the big 3, and facilities in Troy are modern and clean.","If you have any self-respect, do not work here. The company is highly disorganized. Finance processes are undocumented and adhoc. Management is out to please themselves and will stab you in the back if need be.",2018," Senior Financial Analyst in Troy, MI",0,"Senior Financial Analyst Competitive pay, hiring process is straightforward, vacation and holiday is comparable to the big 3, and facilities in Troy are modern and clean. If you have any self-respect, do not work here. The company is highly disorganized. Finance processes are undocumented and adhoc. Management is out to please themselves and will stab you in the back if need be."
510,Current State,1,"Current Employee, more than 10 years",Product Lines are innovative and high-tech,"Leadership is only concerned with pleasing Wall Street, mergers and acquisitions, and short-term cost cutting at the expense of continuous improvement. People, required skill sets, and basic business fundamentals are not a concern.",2018, Anonymous Employee ,0,"Current State Product Lines are innovative and high-tech Leadership is only concerned with pleasing Wall Street, mergers and acquisitions, and short-term cost cutting at the expense of continuous improvement. People, required skill sets, and basic business fundamentals are not a concern."
512,Driver,2,Current Employee,Great company to be a part with,Not so great company to be a part with,2018, Anonymous Employee ,0,Driver Great company to be a part with Not so great company to be a part with
513,Account Manager,1,Current Employee,They offer good base salary,They do no have a good work life balance,2019, Anonymous Employee ,0,Account Manager They offer good base salary They do no have a good work life balance
516,"it's a job, not a career",2,"Current Employee, more than 10 years","Good pay, flexible work schedule","No opportunity for advancement or even moving to a different job, workforce reductions in order to satisfy investors, complete lack of leadership. I have never before seen an organization where supervisors and managers are clueless about what their employees do. The division in Warren is split in 2 groups- wiring and components. There is no ability to move from one to another - even for posted jobs you apply for.",2018," Engineer in Warren, OH",0,"it's a job, not a career Good pay, flexible work schedule No opportunity for advancement or even moving to a different job, workforce reductions in order to satisfy investors, complete lack of leadership. I have never before seen an organization where supervisors and managers are clueless about what their employees do. The division in Warren is split in 2 groups- wiring and components. There is no ability to move from one to another - even for posted jobs you apply for."
517,"Great Place to work, potential to grow",5,"Current Employee, less than 1 year","Great Start Salary, job is relatively easy, yet very important at the same time, safety is a major concern, and the company really lets you know that they have your best interest in mind. Literally working on the future of transportation. they provide snacks and drinks to make sure we are well hydrated and have energy for the road.","long hours sitting would be my top complaint and rotating 7 day schedule, which the schedule thing really isn't that bad but other than those I have no real gripes.",2018," Vehicle Operator in Las Vegas, NV",1,"Great Place to work, potential to grow Great Start Salary, job is relatively easy, yet very important at the same time, safety is a major concern, and the company really lets you know that they have your best interest in mind. Literally working on the future of transportation. they provide snacks and drinks to make sure we are well hydrated and have energy for the road. long hours sitting would be my top complaint and rotating 7 day schedule, which the schedule thing really isn't that bad but other than those I have no real gripes."
518,Self driving autos,5,"Current Employee, less than 1 year","There are a lot of pros for this job, you have great benefits, great hours, it is a wonderful company to work for everybody is friendly they care about their employees you couldn't find a better job than this one",There are no major cons. The only thing that can sometimes bother people is it involves a lot of stress being on the road with other drivers and things are constantly changing but they're changing for the good,2018," Safety Driver in Las Vegas, NV",1,"Self driving autos There are a lot of pros for this job, you have great benefits, great hours, it is a wonderful company to work for everybody is friendly they care about their employees you couldn't find a better job than this one There are no major cons. The only thing that can sometimes bother people is it involves a lot of stress being on the road with other drivers and things are constantly changing but they're changing for the good"
519,Major transition,4,"Current Employee, more than 10 years",Good working atmosphere Interesting advanced high-tech projects Big enough to offer internal relocation to wide variety of jobs.,Chaotic management Struggles a bit to define a new identity after splitting into Aptiv and Delphi Technologies. Micro-management happens quite a lot Rather rore finance than technology driven,2018, Engineering Manager ,1,Major transition Good working atmosphere Interesting advanced high-tech projects Big enough to offer internal relocation to wide variety of jobs. Chaotic management Struggles a bit to define a new identity after splitting into Aptiv and Delphi Technologies. Micro-management happens quite a lot Rather rore finance than technology driven
520,If you love driving and working with a different person each day go apply,5,Current Employee,"You meet a new person everyday. You will be apart of the future - helping perfect self driving cars. You get benefits, and free food occasionally.","You are stuck in a car for 8-9 hours a day with a random person ( Not so bad if you have something in common with the person). The company is still very new, so you have to be able to adapt quickly.",2018, Anonymous Employee ,1,"If you love driving and working with a different person each day go apply You meet a new person everyday. You will be apart of the future - helping perfect self driving cars. You get benefits, and free food occasionally. You are stuck in a car for 8-9 hours a day with a random person ( Not so bad if you have something in common with the person). The company is still very new, so you have to be able to adapt quickly."
521,Work Life Balance - Salary is Very Good,5,"Current Employee, less than 1 year",I am working as a Mechanical Engineer in Aptiv. Company's growth is very good. Work life balance. Salaries are on par with Industries. Salaries are very good compared to Mechanical industries. Opportunities are more for software engineers.,No on site opportunities. Growth is less for mechanical engineers.,2018, Technical Leader in Bangalore,1,Work Life Balance - Salary is Very Good I am working as a Mechanical Engineer in Aptiv. Company's growth is very good. Work life balance. Salaries are on par with Industries. Salaries are very good compared to Mechanical industries. Opportunities are more for software engineers. No on site opportunities. Growth is less for mechanical engineers.
522,Software Development Intern - Autonomous Vehicle Mapping,5,"Former Employee, less than 1 year",Tons of opportunities to demonstrate your worth and step up to the plate. Expansion of bigger city (Boston and Pittsburgh) offices will attract much better tech talent.,Masters or PhD required to work on certain teams.,2018," Software Engineer(Internship) in Pittsburgh, PA",1,Software Development Intern - Autonomous Vehicle Mapping Tons of opportunities to demonstrate your worth and step up to the plate. Expansion of bigger city (Boston and Pittsburgh) offices will attract much better tech talent. Masters or PhD required to work on certain teams.
524,Strong Growth and Leadership,5,"Current Employee, less than 1 year",Aptiv provides many opportunities for growth. It's exciting to have mangers that help to foster your career and truly lead by example.,"It can sometimes be challenging to meet everyone you work with due to the global locations and size of Aptiv,",2018," Anonymous Employee in Troy, MI",1,"Strong Growth and Leadership Aptiv provides many opportunities for growth. It's exciting to have mangers that help to foster your career and truly lead by example. It can sometimes be challenging to meet everyone you work with due to the global locations and size of Aptiv,"
525,Good Place to work,5,"Current Employee, more than 5 years","good place to work, good culture, good interaction with global teams, exposure to advanced technologies related to autonomous driving, sensors, multimedia....","lesser interaction and transparency with site leadership, HR team is very slow",2018, Software Engineer Advanced in Bangalore,1,"Good Place to work good place to work, good culture, good interaction with global teams, exposure to advanced technologies related to autonomous driving, sensors, multimedia.... lesser interaction and transparency with site leadership, HR team is very slow"
526,Well taken care of,5,"Current Employee, less than 1 year","Salary, little perks, fellow staff and immediate supervisors. Easy to work with and for. They value an honest days work.",Information can be confusing at times and communication can be contradictory but that’s due to the startup nature of this company’s division. Improvements are evident.,2018," Test Operator in Las Vegas, NV",1,"Well taken care of Salary, little perks, fellow staff and immediate supervisors. Easy to work with and for. They value an honest days work. Information can be confusing at times and communication can be contradictory but that’s due to the startup nature of this company’s division. Improvements are evident."
528,Been an amazing learning experience!,5,"Current Employee, less than 1 year",Flexibility in timing. Interesting projects. Friendly work culture. Competitive compensation and work life balance,Not much to say. Sometimes work is thrown around instead of being owned up to by the actual person.,2017," Mechanical Engineer in Detroit, MI",1,Been an amazing learning experience! Flexibility in timing. Interesting projects. Friendly work culture. Competitive compensation and work life balance Not much to say. Sometimes work is thrown around instead of being owned up to by the actual person.
530,Great Team with Ownership and high motivation,5,"Current Employee, less than 1 year",High knowledge and quick actions mentality to make things happen. Strong financial driven and success orientated,Processes and Tools could be more lean,2018, Anonymous Employee ,1,Great Team with Ownership and high motivation High knowledge and quick actions mentality to make things happen. Strong financial driven and success orientated Processes and Tools could be more lean
531,Better Salary compared other automotive,4,"Current Employee, less than 1 year","Company is providing competitive salary compared to other automotive companies, good work life and personal life balance","I feel there is no learning for me, apart from that every thing is good",2018, Senior Engineer in Bangalore,1,"Better Salary compared other automotive Company is providing competitive salary compared to other automotive companies, good work life and personal life balance I feel there is no learning for me, apart from that every thing is good"
533,Decent place,4,"Former Employee, more than 1 year",Good leaders Decent work life balance Nice people to work with Varied career paths within the organization,Work culture and flexibility is entirely dependent on the team.,2018," Analyst in Troy, MI",1,Decent place Good leaders Decent work life balance Nice people to work with Varied career paths within the organization Work culture and flexibility is entirely dependent on the team.
534,Shippinh & Receiving Supervisor,4,Former Employee,"Great team work, wide range of activities to learn from & opportunity to grow","Very demanding with working extra hours, tension between departments & people within the operation",2018, Anonymous Employee ,1,"Shippinh & Receiving Supervisor Great team work, wide range of activities to learn from & opportunity to grow Very demanding with working extra hours, tension between departments & people within the operation"
535,Needs to focus on innovation and R&D,2,"Current Employee, more than 1 year","Lot of projects. Revenues are all time high. Good project booking, happy shareholders, flexible working hours","Lot of projects but most are on support, integration and bug fixes. Need to focus more on design projects, algorithm development and innovation rather than being service centre. Adas is going through a very interesting phase, wish management focuses on cashing in on the opportunity and take up interesting challenges rather than being low cost centre.",2018, Technical Leader in Bangalore,0,"Needs to focus on innovation and R&D Lot of projects. Revenues are all time high. Good project booking, happy shareholders, flexible working hours Lot of projects but most are on support, integration and bug fixes. Need to focus more on design projects, algorithm development and innovation rather than being service centre. Adas is going through a very interesting phase, wish management focuses on cashing in on the opportunity and take up interesting challenges rather than being low cost centre."
536,A new home,5,"Current Employee, less than 1 year","Great place to work, good pay, great benefits, great co workers, and great communication with superiors.",None found as of yet.,2018," Current Employee in Las Vegas, NV",1,"A new home Great place to work, good pay, great benefits, great co workers, and great communication with superiors. None found as of yet."
537,Good Place to work,4,"Current Employee, more than 3 years","Good Salary, Good Hike, Lots of trainings, Good career growth, No Variable Pay, Team Lunch and Outing",Some Managers are HIGHLY unprofessional,2018, Senior Software Engineer in Bangalore,1,"Good Place to work Good Salary, Good Hike, Lots of trainings, Good career growth, No Variable Pay, Team Lunch and Outing Some Managers are HIGHLY unprofessional"
538,Expert Software Enginner,4,"Current Employee, more than 3 years","interesting projects, possibilities of promotions, budget for training","big corporation with typical problems that you encounter when you get higher in hierarchy (problems with financies, delays, IT etc)",2018, Expert Software Engineer in Kraków,1,"Expert Software Enginner interesting projects, possibilities of promotions, budget for training big corporation with typical problems that you encounter when you get higher in hierarchy (problems with financies, delays, IT etc)"
539,"Good, but still traditional",4,"Current Employee, more than 5 years","Good people, always willing to help","Constant reorgs, relatively low salaries",2018," Technical Manager in Kokomo, IN",1,"Good, but still traditional Good people, always willing to help Constant reorgs, relatively low salaries"
540,"Good, but still traditional",4,"Current Employee, more than 5 years","Good people, always willing to help","Constant reorgs, relatively low salaries",2018," Technical Manager in Kokomo, IN",1,"Good, but still traditional Good people, always willing to help Constant reorgs, relatively low salaries"
541,Great Company to work,4,"Current Employee, more than 1 year",1. Challenging work to perform. 2. New Technologies to learn. 3. Balanced work life. 4. Supportive Management. 5. Good Pay structure.,1. Immature HR department. 2. People are not so helpful.,2018, Software Engineer Advanced in Bangalore,1,Great Company to work 1. Challenging work to perform. 2. New Technologies to learn. 3. Balanced work life. 4. Supportive Management. 5. Good Pay structure. 1. Immature HR department. 2. People are not so helpful.
542,Enjoyable atmosphere. Crazy how a large corporation can have a family feel.,5,"Current Employee, less than 1 year",Salary is better than most in this area.,We are a little understaffed.,2018," Product Engineer in Warren, OH",1,Enjoyable atmosphere. Crazy how a large corporation can have a family feel. Salary is better than most in this area. We are a little understaffed.
544,Good company to start working,5,Current Employee,"Good managers, good colleagues, good opportunity","Many trainings, hope start work sooner.",2018, Anonymous Employee ,1,"Good company to start working Good managers, good colleagues, good opportunity Many trainings, hope start work sooner."
545,"Cutting Edge Technology, Combative Culture",1,Former Employee,"Aptiv (formerly Delphi), is at the leading edge of the technological revolution in the automobile. They are one of the best positioned public companies in the space. For an aspiring software engineer or Artificial Intelligence expert, it's probably an excellent place to work. You will likely be challenged to create ground-breaking technology. You'll be involved in something big, which promises to fundamentally change how we live over the next few decades. Of course, one must keep in mind that the separated companies (Aptiv and Delphi Tech) are also ripe for consolidation. By accepting a role there, you will be joining a company that has a solid chance of being acquired or joining forces with a larger tech or automotive giant. The pay is good, and it should be if you are an engineer that's in demand, or if you are in finance and have to cope with the crap administered from Corporate. Benefits are solid, but don't expect HR to do much to help you with anything. You're definitely on your own at this Company.","I worked at Corporate, so I cannot say what it's like being an engineer. I can say that working in Corporate Finance, or anywhere near the C-suite is a most unpleasant experience. The general culture is, in one word, combative. I've worked for other large companies, and never seen anything like it. The hours will be long, tense, and filled with angry, aggressive people. Management runs a tight ship, but has created a toxic, unpleasant environment. One can expect profanity, irrational anger, backstabbing, displaced aggression, red-faced put-downs of employees, threats of firing, and the occasional crying assistant. Employees even joke about the level of stress and misery of people on ""the fifth floor"" in Michigan. There's a reason there is so much turnover in the finance department and other Corporate functions. Overall, my time at the Company was an awful, unrewarding experience I came to regret. Don't go to Corporate unless you have a take no prisoners attitude and a thick skin.",2018, Anonymous Employee ,0,"Cutting Edge Technology, Combative Culture Aptiv (formerly Delphi), is at the leading edge of the technological revolution in the automobile. They are one of the best positioned public companies in the space. For an aspiring software engineer or Artificial Intelligence expert, it's probably an excellent place to work. You will likely be challenged to create ground-breaking technology. You'll be involved in something big, which promises to fundamentally change how we live over the next few decades. Of course, one must keep in mind that the separated companies (Aptiv and Delphi Tech) are also ripe for consolidation. By accepting a role there, you will be joining a company that has a solid chance of being acquired or joining forces with a larger tech or automotive giant. The pay is good, and it should be if you are an engineer that's in demand, or if you are in finance and have to cope with the crap administered from Corporate. Benefits are solid, but don't expect HR to do much to help you with anything. You're definitely on your own at this Company. I worked at Corporate, so I cannot say what it's like being an engineer. I can say that working in Corporate Finance, or anywhere near the C-suite is a most unpleasant experience. The general culture is, in one word, combative. I've worked for other large companies, and never seen anything like it. The hours will be long, tense, and filled with angry, aggressive people. Management runs a tight ship, but has created a toxic, unpleasant environment. One can expect profanity, irrational anger, backstabbing, displaced aggression, red-faced put-downs of employees, threats of firing, and the occasional crying assistant. Employees even joke about the level of stress and misery of people on ""the fifth floor"" in Michigan. There's a reason there is so much turnover in the finance department and other Corporate functions. Overall, my time at the Company was an awful, unrewarding experience I came to regret. Don't go to Corporate unless you have a take no prisoners attitude and a thick skin."
546,"Great Employees, Supremely Disloyal HR",2,"Current Employee, more than 1 year","Flexible work schedule, competitive pay (for me, anyway), exciting products in cutting edge tech spaces.",Seemingly volatile corporate HR needs. Ask current and former corporate employees how many times they saw sudden staffing cuts or job relocation they disagreed with or thought was handled wrong.,2018, Anonymous Employee ,0,"Great Employees, Supremely Disloyal HR Flexible work schedule, competitive pay (for me, anyway), exciting products in cutting edge tech spaces. Seemingly volatile corporate HR needs. Ask current and former corporate employees how many times they saw sudden staffing cuts or job relocation they disagreed with or thought was handled wrong."
547,Autonomous operator,5,Current Employee,"Great benefits, great coworkers, treated well by management and supervisors. Flexible schedules, great environment to work in.","None yet, everyone and everybody has been great",2018," Anonymous Employee in Las Vegas, NV",1,"Autonomous operator Great benefits, great coworkers, treated well by management and supervisors. Flexible schedules, great environment to work in. None yet, everyone and everybody has been great"
548,Century Old Company,4,"Current Employee, more than 3 years",1. Less work Pressure 2. Corporate Culture 3. Strict Internal Controls,1. No flexible timings for even executives in Manufacturing plant. 2. Lots of hierarchy for approvals,2018, Account Executive in New Delhi,1,Century Old Company 1. Less work Pressure 2. Corporate Culture 3. Strict Internal Controls 1. No flexible timings for even executives in Manufacturing plant. 2. Lots of hierarchy for approvals
549,R&D Software Engineer,5,"Current Employee, less than 1 year",great place to work; free breakfast and lunch; good work and life balance; nice team members,maybe location if you prefer silicon valley,2018," Software Engineer in Pittsburgh, PA",1,R&D Software Engineer great place to work; free breakfast and lunch; good work and life balance; nice team members maybe location if you prefer silicon valley
550,Good place to work,4,"Current Employee, more than 3 years",Good team members and Supportive managers,Food and facilry are the concerns,2018, Advance Software Engineer in Bangalore,1,Good place to work Good team members and Supportive managers Food and facilry are the concerns
551,Advanced technical leader,5,"Current Employee, more than 3 years",Good company to explore technical possibilities,There are no cons for this company,2018, Advanced Technical Leader in Bangalore,1,Advanced technical leader Good company to explore technical possibilities There are no cons for this company
552,Work Environment,4,"Current Employee, more than 1 year",Your are free to learn as much as you can,"Very less onsite opportunities, only 1 or 2 months for vehicle testing.",2018, Software Engineer in Bangalore,1,"Work Environment Your are free to learn as much as you can Very less onsite opportunities, only 1 or 2 months for vehicle testing."
553,Strong Company Culture!,4,Former Employee,Empowerment is very strongly encouraged,Restructuring is constant and this is a con,2018, Anonymous Employee ,1,Strong Company Culture! Empowerment is very strongly encouraged Restructuring is constant and this is a con
554,Great Company,5,"Current Employee, more than 5 years",Exciting work! Love working here.,"Has made major progress, but still updating to be a ""silicon valley"" style company.",2017," Electrical Engineer in Kokomo, IN",1,"Great Company Exciting work! Love working here. Has made major progress, but still updating to be a ""silicon valley"" style company."
555,Director Vendor Management,5,"Current Employee, more than 3 years",Interesting field and great team to work with,Dynamic with constant change but can be slow to act,2018," Director, Supplier Alignment in Troy, MI",1,Director Vendor Management Interesting field and great team to work with Dynamic with constant change but can be slow to act
556,EGM,5,"Current Employee, more than 3 years","Cutting edge technologies, challenging work,diversified skill enhancement opportunities","Poor work life balance, fire fighting approaches",2017, Anonymous Employee ,1,"EGM Cutting edge technologies, challenging work,diversified skill enhancement opportunities Poor work life balance, fire fighting approaches"
557,Great Place to grow your career,5,Current Employee,Very technical and challenging work Good Work life Balance,Less Recognition and Rewards for employees,2018, Technical Leader in Bangalore Rural,1,Great Place to grow your career Very technical and challenging work Good Work life Balance Less Recognition and Rewards for employees
558,Exciting Transformation Happening,5,"Current Employee, more than 3 years",Great Product Portfolio and love working with smart people,High expectations and impacts work life balance,2018," Anonymous Employee in Troy, MI",1,Exciting Transformation Happening Great Product Portfolio and love working with smart people High expectations and impacts work life balance
559,Product Engineer,4,"Former Employee, more than 5 years","Nice envoriment to work, systematic,easy to use tools and trainings","Work load pressure, stress, very big and bulky organisation",2018, Anonymous Employee ,1,"Product Engineer Nice envoriment to work, systematic,easy to use tools and trainings Work load pressure, stress, very big and bulky organisation"
560,Product Engineer,4,"Former Employee, more than 5 years","Nice envoriment to work, systematic,easy to use tools and trainings","Work load pressure, stress, very big and bulky organisation",2018, Anonymous Employee ,1,"Product Engineer Nice envoriment to work, systematic,easy to use tools and trainings Work load pressure, stress, very big and bulky organisation"
561,software engineer,4,Current Employee,well communication with workmate. time balanced for work and family,rate of salary increase is low.,2018, Anonymous Employee ,1,software engineer well communication with workmate. time balanced for work and family rate of salary increase is low.
562,Good Work. Good work life balance,4,Current Employee,Free to do any task. Open to innovation,Food and facility is not good.,2018, Anonymous Employee ,1,Good Work. Good work life balance Free to do any task. Open to innovation Food and facility is not good.
